,0
0.0,na
0.05,na
0.1,na
0.15,na
0.2,na
0.25,na
0.3,na
0.35,na
0.4,na
0.45,na
0.5,na
0.55,na
0.6,na
0.65,na
0.7,na
0.75,na
0.8,na
0.85,na
0.9,na
0.95,na
1.0,na
1.05,na
1.1,rearing
1.15,rearing
1.2,rearing
1.25,rearing
1.3,rearing
1.35,rearing
1.4,rearing
1.45,rearing
1.5,rearing
1.55,rearing
1.6,rearing
1.65,rearing
1.7,rearing
1.75,rearing
1.8,rearing
1.85,rearing
1.9,rearing
1.95,rearing
2.0,rearing
2.05,rearing
2.1,rearing
2.15,rearing
2.2,rearing
2.25,rearing
2.3,rearing
2.35,na
2.4,na
2.45,na
2.5,na
2.55,na
2.6,na
2.65,na
2.7,na
2.75,standing
2.8,na
2.85,na
2.9,na
2.95,na
3.0,na
3.05,na
3.1,na
3.15,na
3.2,na
3.25,na
3.3,na
3.35,na
3.4,na
3.45,na
3.5,na
3.55,na
3.6,na
3.65,na
3.7,na
3.75,na
3.8,na
3.85,na
3.9,na
3.95,na
4.0,na
4.05,na
4.1,na
4.15,na
4.2,na
4.25,na
4.3,na
4.35,na
4.4,na
4.45,na
4.5,na
4.55,na
4.6,na
4.65,na
4.7,walking
4.75,walking
4.8,walking
4.85,walking
4.9,walking
4.95,walking
5.0,walking
5.05,walking
5.1,walking
5.15,walking
5.2,walking
5.25,walking
5.3,walking
5.35,walking
5.4,walking
5.45,walking
5.5,walking
5.55,walking
5.6,walking
5.65,walking
5.7,walking
5.75,walking
5.8,walking
5.85,walking
5.9,walking
5.95,walking
6.0,walking
6.05,walking
6.1,walking
6.15,walking
6.2,walking
6.25,walking
6.3,walking
6.35,walking
6.4,walking
6.45,walking
6.5,walking
6.55,walking
6.6,walking
6.65,walking
6.7,walking
6.75,walking
6.8,walking
6.85,walking
6.9,walking
6.95,walking
7.0,walking
7.05,walking
7.1,walking
7.15,walking
7.2,walking
7.25,walking
7.3,walking
7.35,walking
7.4,walking
7.45,walking
7.5,walking
7.55,walking
7.6,walking
7.65,walking
7.7,walking
7.75,walking
7.8,walking
7.85,walking
7.9,na
7.95,na
8.0,na
8.05,na
8.1,na
8.15,na
8.2,na
8.25,na
8.3,na
8.35,na
8.4,na
8.45,na
8.5,na
8.55,na
8.6,na
8.65,walking
8.7,walking
8.75,walking
8.8,walking
8.85,walking
8.9,walking
8.95,walking
9.0,walking
9.05,na
9.1,na
9.15,na
9.2,walking
9.25,walking
9.3,walking
9.35,walking
9.4,walking
9.45,walking
9.5,walking
9.55,walking
9.6,na
9.65,na
9.7,na
9.75,na
9.8,na
9.85,na
9.9,na
9.95,na
10.0,na
10.05,na
10.1,na
10.15,na
10.2,standing
10.25,standing
10.3,standing
10.35,standing
10.4,standing
10.45,standing
10.5,na
10.55,na
10.6,na
10.65,na
10.7,na
10.75,na
10.8,na
10.85,na
10.9,na
10.95,na
11.0,na
11.05,na
11.1,na
11.15,na
11.2,na
11.25,na
11.3,na
11.35,na
11.4,rearing
11.45,rearing
11.5,rearing
11.55,rearing
11.6,rearing
11.65,rearing
11.7,rearing
11.75,rearing
11.8,rearing
11.85,rearing
11.9,rearing
11.95,rearing
12.0,rearing
12.05,rearing
12.1,rearing
12.15,rearing
12.2,rearing
12.25,na
12.3,na
12.35,na
12.4,na
12.45,na
12.5,na
12.55,na
12.6,na
12.65,na
12.7,na
12.75,na
12.8,na
12.85,na
12.9,walking
12.95,walking
13.0,walking
13.05,walking
13.1,walking
13.15,walking
13.2,walking
13.25,walking
13.3,walking
13.35,walking
13.4,walking
13.45,na
13.5,na
13.55,na
13.6,na
13.65,na
13.7,na
13.75,na
13.8,na
13.85,na
13.9,na
13.95,na
14.0,na
14.05,na
14.1,na
14.15,na
14.2,na
14.25,na
14.3,na
14.35,na
14.4,rearing
14.45,rearing
14.5,rearing
14.55,rearing
14.6,rearing
14.65,rearing
14.7,rearing
14.75,rearing
14.8,rearing
14.85,rearing
14.9,rearing
14.95,rearing
15.0,rearing
15.05,rearing
15.1,rearing
15.15,rearing
15.2,rearing
15.25,rearing
15.3,na
15.35,na
15.4,na
15.45,na
15.5,na
15.55,na
15.6,walking
15.65,walking
15.7,walking
15.75,walking
15.8,walking
15.85,walking
15.9,walking
15.95,walking
16.0,na
16.05,na
16.1,na
16.15,na
16.2,na
16.25,na
16.3,na
16.35,na
16.4,na
16.45,na
16.5,na
16.55,na
16.6,na
16.65,na
16.7,na
16.75,na
16.8,standing
16.85,standing
16.9,standing
16.95,standing
17.0,standing
17.05,standing
17.1,standing
17.15,standing
17.2,standing
17.25,standing
17.3,standing
17.35,standing
17.4,standing
17.45,na
17.5,na
17.55,na
17.6,na
17.65,na
17.7,na
17.75,na
17.8,na
17.85,na
17.9,na
17.95,na
18.0,na
18.05,standing
18.1,standing
18.15,standing
18.2,standing
18.25,standing
18.3,standing
18.35,standing
18.4,standing
18.45,standing
18.5,standing
18.55,na
18.6,na
