,0
0.0,na
0.05,na
0.1,na
0.15,na
0.2,na
0.25,na
0.3,na
0.35,na
0.4,na
0.45,na
0.5,na
0.55,na
0.6,na
0.65,na
0.7,na
0.75,na
0.8,na
0.85,na
0.9,na
0.95,na
1.0,na
1.05,na
1.1,na
1.15,na
1.2,na
1.25,na
1.3,na
1.35,na
1.4,na
1.45,na
1.5,na
1.55,na
1.6,na
1.65,na
1.7,na
1.75,na
1.8,na
1.85,na
1.9,na
1.95,na
2.0,na
2.05,na
2.1,na
2.15,na
2.2,na
2.25,na
2.3,na
2.35,na
2.4,na
2.45,na
2.5,na
2.55,na
2.6,rearing
2.65,rearing
2.7,rearing
2.75,rearing
2.8,rearing
2.85,rearing
2.9,rearing
2.95,rearing
3.0,rearing
3.05,rearing
3.1,rearing
3.15,na
3.2,na
3.25,na
3.3,na
3.35,na
3.4,na
3.45,na
3.5,na
3.55,na
3.6,na
3.65,na
3.7,walking
3.75,walking
3.8,walking
3.85,walking
3.9,walking
3.95,walking
4.0,walking
4.05,walking
4.1,walking
4.15,walking
4.2,walking
4.25,walking
4.3,walking
4.35,walking
4.4,walking
4.45,na
4.5,na
4.55,na
4.6,na
4.65,na
4.7,na
4.75,na
4.8,na
4.85,na
4.9,na
4.95,standing
5.0,standing
5.05,na
5.1,na
5.15,na
5.2,na
5.25,na
5.3,na
5.35,na
5.4,na
5.45,na
5.5,na
5.55,na
5.6,na
5.65,na
5.7,rearing
5.75,rearing
5.8,rearing
5.85,rearing
5.9,rearing
5.95,rearing
6.0,rearing
6.05,rearing
6.1,rearing
6.15,rearing
6.2,rearing
6.25,rearing
6.3,rearing
6.35,rearing
6.4,rearing
6.45,rearing
6.5,rearing
6.55,rearing
6.6,rearing
6.65,rearing
6.7,rearing
6.75,rearing
6.8,rearing
6.85,rearing
6.9,rearing
6.95,rearing
7.0,rearing
7.05,rearing
7.1,na
7.15,na
7.2,na
7.25,na
7.3,na
7.35,walking
7.4,walking
7.45,walking
7.5,walking
7.55,walking
7.6,walking
7.65,walking
7.7,walking
7.75,walking
7.8,walking
7.85,walking
7.9,walking
7.95,walking
8.0,walking
8.05,walking
8.1,walking
8.15,walking
8.2,na
8.25,na
8.3,na
8.35,na
8.4,na
8.45,na
8.5,na
8.55,na
8.6,na
8.65,na
8.7,na
8.75,na
8.8,na
8.85,na
8.9,na
8.95,na
9.0,na
9.05,na
9.1,na
9.15,na
9.2,na
9.25,walking
9.3,walking
9.35,walking
9.4,walking
9.45,walking
9.5,walking
9.55,walking
9.6,walking
9.65,walking
9.7,walking
9.75,walking
9.8,na
9.85,na
9.9,na
9.95,na
10.0,na
10.05,na
10.1,na
10.15,na
10.2,na
10.25,na
10.3,na
10.35,na
10.4,na
10.45,walking
10.5,walking
10.55,walking
10.6,walking
10.65,walking
10.7,walking
10.75,na
10.8,na
10.85,na
10.9,na
10.95,na
11.0,na
11.05,na
11.1,na
11.15,na
11.2,na
11.25,na
11.3,na
11.35,na
11.4,na
11.45,walking
11.5,walking
11.55,walking
11.6,walking
11.65,walking
11.7,na
11.75,na
11.8,na
11.85,na
11.9,na
11.95,na
12.0,rearing
12.05,rearing
12.1,rearing
12.15,rearing
12.2,rearing
12.25,rearing
12.3,rearing
12.35,rearing
12.4,rearing
12.45,rearing
12.5,rearing
12.55,rearing
12.6,rearing
12.65,rearing
12.7,rearing
12.75,rearing
12.8,rearing
12.85,rearing
12.9,rearing
12.95,rearing
13.0,rearing
13.05,rearing
13.1,rearing
13.15,rearing
13.2,rearing
13.25,rearing
13.3,rearing
13.35,rearing
13.4,rearing
13.45,rearing
13.5,rearing
13.55,rearing
13.6,rearing
13.65,rearing
13.7,rearing
13.75,rearing
13.8,rearing
13.85,rearing
13.9,rearing
13.95,rearing
14.0,rearing
14.05,rearing
14.1,rearing
14.15,rearing
14.2,rearing
14.25,rearing
14.3,rearing
14.35,rearing
14.4,rearing
14.45,rearing
14.5,rearing
14.55,na
14.6,na
14.65,na
14.7,na
14.75,na
14.8,na
14.85,na
14.9,na
14.95,na
15.0,na
15.05,na
15.1,na
15.15,na
15.2,na
15.25,na
15.3,na
15.35,na
15.4,na
15.45,na
15.5,na
15.55,na
15.6,na
15.65,na
15.7,na
15.75,na
15.8,na
15.85,na
15.9,na
15.95,na
16.0,na
16.05,na
16.1,na
16.15,na
16.2,na
16.25,na
16.3,na
16.35,na
16.4,na
16.45,na
16.5,na
16.55,na
16.6,na
16.65,na
16.7,na
16.75,na
16.8,na
16.85,na
16.9,na
16.95,na
17.0,na
17.05,na
17.1,na
17.15,na
17.2,na
17.25,na
17.3,na
17.35,na
17.4,na
17.45,na
17.5,na
17.55,na
17.6,na
17.65,standing
17.7,standing
17.75,standing
17.8,standing
17.85,standing
17.9,standing
17.95,standing
18.0,standing
18.05,standing
18.1,standing
18.15,standing
18.2,standing
18.25,standing
18.3,rearing
18.35,rearing
18.4,rearing
18.45,rearing
18.5,rearing
