,0
0.0,na
0.05,na
0.1,na
0.15,na
0.2,na
0.25,na
0.3,na
0.35,walking
0.4,walking
0.45,walking
0.5,walking
0.55,walking
0.6,walking
0.65,walking
0.7,walking
0.75,walking
0.8,walking
0.85,walking
0.9,walking
0.95,walking
1.0,walking
1.05,na
1.1,na
1.15,na
1.2,na
1.25,na
1.3,na
1.35,na
1.4,na
1.45,na
1.5,na
1.55,na
1.6,na
1.65,na
1.7,rearing
1.75,na
1.8,na
1.85,na
1.9,na
1.95,na
2.0,na
2.05,na
2.1,na
2.15,na
2.2,na
2.25,na
2.3,na
2.35,na
2.4,na
2.45,na
2.5,walking
2.55,na
2.6,na
2.65,na
2.7,na
2.75,na
2.8,na
2.85,na
2.9,na
2.95,na
3.0,na
3.05,na
3.1,na
3.15,walking
3.2,walking
3.25,walking
3.3,walking
3.35,walking
3.4,walking
3.45,walking
3.5,walking
3.55,walking
3.6,walking
3.65,walking
3.7,na
3.75,rearing
3.8,rearing
3.85,rearing
3.9,rearing
3.95,rearing
4.0,rearing
4.05,rearing
4.1,rearing
4.15,rearing
4.2,na
4.25,na
4.3,na
4.35,na
4.4,na
4.45,na
4.5,na
4.55,walking
4.6,walking
4.65,walking
4.7,walking
4.75,walking
4.8,walking
4.85,walking
4.9,walking
4.95,walking
5.0,walking
5.05,walking
5.1,walking
5.15,na
5.2,na
5.25,rearing
5.3,rearing
5.35,rearing
5.4,rearing
5.45,rearing
5.5,rearing
5.55,rearing
5.6,rearing
5.65,rearing
5.7,rearing
5.75,na
5.8,na
5.85,na
5.9,walking
5.95,walking
6.0,walking
6.05,walking
6.1,walking
6.15,walking
6.2,walking
6.25,walking
6.3,walking
6.35,walking
6.4,walking
6.45,walking
6.5,walking
6.55,na
6.6,na
6.65,na
6.7,na
6.75,na
6.8,rearing
6.85,rearing
6.9,rearing
6.95,rearing
7.0,rearing
7.05,rearing
7.1,rearing
7.15,rearing
7.2,rearing
7.25,rearing
7.3,rearing
7.35,rearing
7.4,na
7.45,na
7.5,na
7.55,walking
7.6,walking
7.65,walking
7.7,walking
7.75,walking
7.8,walking
7.85,walking
7.9,walking
7.95,walking
8.0,walking
8.05,walking
8.1,walking
8.15,na
8.2,na
8.25,na
8.3,na
8.35,na
8.4,na
8.45,na
8.5,na
8.55,na
8.6,na
8.65,na
8.7,na
8.75,na
8.8,na
8.85,na
8.9,na
8.95,na
9.0,na
9.05,na
9.1,na
9.15,walking
9.2,walking
9.25,walking
9.3,walking
9.35,walking
9.4,walking
9.45,walking
9.5,walking
9.55,walking
9.6,walking
9.65,walking
9.7,walking
9.75,rearing
9.8,rearing
9.85,rearing
9.9,rearing
9.95,rearing
10.0,rearing
10.05,rearing
10.1,rearing
10.15,rearing
10.2,na
10.25,na
10.3,na
10.35,na
10.4,walking
10.45,walking
10.5,walking
10.55,walking
10.6,walking
10.65,walking
10.7,walking
10.75,walking
10.8,walking
10.85,na
10.9,na
10.95,na
11.0,na
11.05,rearing
11.1,rearing
11.15,rearing
11.2,na
11.25,na
11.3,na
11.35,na
11.4,na
11.45,na
11.5,na
11.55,na
11.6,na
11.65,na
11.7,na
11.75,na
11.8,na
11.85,na
11.9,walking
11.95,walking
12.0,walking
12.05,walking
12.1,walking
12.15,walking
12.2,na
12.25,na
12.3,na
12.35,na
12.4,rearing
12.45,rearing
12.5,rearing
12.55,rearing
12.6,rearing
12.65,rearing
12.7,rearing
12.75,rearing
12.8,rearing
12.85,rearing
12.9,rearing
12.95,rearing
13.0,rearing
13.05,rearing
13.1,rearing
13.15,rearing
13.2,rearing
13.25,rearing
13.3,rearing
13.35,rearing
13.4,rearing
13.45,rearing
13.5,rearing
13.55,na
13.6,na
13.65,na
13.7,na
13.75,na
13.8,walking
13.85,walking
13.9,walking
13.95,walking
14.0,walking
14.05,walking
14.1,walking
14.15,walking
14.2,walking
14.25,na
14.3,na
14.35,na
14.4,na
14.45,rearing
14.5,rearing
14.55,rearing
14.6,rearing
14.65,rearing
14.7,rearing
14.75,rearing
14.8,rearing
14.85,rearing
14.9,rearing
14.95,na
15.0,na
15.05,na
15.1,na
15.15,rearing
15.2,rearing
15.25,rearing
15.3,rearing
15.35,rearing
15.4,rearing
15.45,rearing
15.5,rearing
15.55,rearing
15.6,na
15.65,na
15.7,walking
15.75,walking
15.8,walking
15.85,walking
15.9,walking
15.95,walking
16.0,walking
16.05,walking
16.1,walking
16.15,walking
16.2,na
16.25,na
16.3,na
16.35,na
16.4,na
16.45,na
16.5,na
16.55,na
16.6,na
16.65,na
16.7,na
16.75,na
16.8,na
16.85,na
16.9,na
16.95,na
17.0,na
17.05,na
17.1,na
17.15,na
17.2,na
17.25,na
17.3,walking
17.35,walking
17.4,walking
17.45,walking
17.5,walking
17.55,walking
17.6,walking
17.65,walking
17.7,walking
17.75,walking
17.8,na
17.85,na
17.9,na
17.95,na
18.0,na
18.05,na
18.1,na
18.15,na
18.2,na
18.25,na
