,0
0.0,na
0.05,walking
0.1,walking
0.15,walking
0.2,walking
0.25,walking
0.3,walking
0.35,walking
0.4,walking
0.45,walking
0.5,walking
0.55,walking
0.6,walking
0.65,walking
0.7,walking
0.75,walking
0.8,walking
0.85,walking
0.9,walking
0.95,walking
1.0,walking
1.05,walking
1.1,walking
1.15,walking
1.2,walking
1.25,walking
1.3,walking
1.35,walking
1.4,walking
1.45,walking
1.5,walking
1.55,walking
1.6,walking
1.65,walking
1.7,walking
1.75,walking
1.8,walking
1.85,walking
1.9,walking
1.95,walking
2.0,walking
2.05,walking
2.1,walking
2.15,walking
2.2,walking
2.25,walking
2.3,walking
2.35,walking
2.4,walking
2.45,walking
2.5,walking
2.55,walking
2.6,walking
2.65,walking
2.7,walking
2.75,walking
2.8,walking
2.85,walking
2.9,walking
2.95,walking
3.0,walking
3.05,walking
3.1,walking
3.15,walking
3.2,walking
3.25,walking
3.3,walking
3.35,walking
3.4,walking
3.45,walking
3.5,walking
3.55,walking
3.6,walking
3.65,walking
3.7,walking
3.75,walking
3.8,walking
3.85,walking
3.9,walking
3.95,walking
4.0,walking
4.05,walking
4.1,walking
4.15,walking
4.2,walking
4.25,walking
4.3,walking
4.35,walking
4.4,walking
4.45,walking
4.5,walking
4.55,walking
4.6,walking
4.65,walking
4.7,walking
4.75,walking
4.8,walking
4.85,walking
4.9,walking
4.95,walking
5.0,walking
5.05,walking
5.1,walking
5.15,walking
5.2,walking
5.25,walking
5.3,walking
5.35,walking
5.4,walking
5.45,walking
5.5,walking
5.55,walking
5.6,walking
5.65,walking
5.7,na
5.75,na
5.8,na
5.85,walking
5.9,walking
5.95,walking
6.0,walking
6.05,na
6.1,na
6.15,na
6.2,na
6.25,na
6.3,na
6.35,na
6.4,na
6.45,na
6.5,na
6.55,na
6.6,na
6.65,na
6.7,na
6.75,na
6.8,na
6.85,walking
6.9,walking
6.95,walking
7.0,walking
7.05,walking
7.1,walking
7.15,walking
7.2,walking
7.25,walking
7.3,walking
7.35,walking
7.4,walking
7.45,walking
7.5,walking
7.55,walking
7.6,walking
7.65,walking
7.7,walking
7.75,walking
7.8,walking
7.85,walking
7.9,walking
7.95,walking
8.0,walking
8.05,walking
8.1,walking
8.15,walking
8.2,walking
8.25,walking
8.3,walking
8.35,walking
8.4,walking
8.45,walking
8.5,walking
8.55,walking
8.6,walking
8.65,walking
8.7,walking
8.75,walking
8.8,walking
8.85,walking
8.9,walking
8.95,walking
9.0,walking
9.05,walking
9.1,walking
9.15,walking
9.2,walking
9.25,na
9.3,na
9.35,na
9.4,na
9.45,na
9.5,na
9.55,na
9.6,na
9.65,na
9.7,na
9.75,na
9.8,na
9.85,na
9.9,na
9.95,na
10.0,na
10.05,na
10.1,na
10.15,walking
10.2,walking
10.25,walking
10.3,walking
10.35,walking
10.4,walking
10.45,walking
10.5,walking
10.55,walking
10.6,walking
10.65,walking
10.7,walking
10.75,walking
10.8,walking
10.85,walking
10.9,walking
10.95,walking
11.0,walking
11.05,walking
11.1,walking
11.15,walking
11.2,walking
11.25,walking
11.3,walking
11.35,walking
11.4,walking
11.45,walking
11.5,walking
11.55,walking
11.6,walking
11.65,walking
11.7,walking
11.75,walking
11.8,walking
11.85,walking
11.9,walking
11.95,walking
12.0,na
12.05,na
12.1,na
12.15,na
12.2,na
12.25,na
12.3,na
12.35,na
12.4,na
12.45,walking
12.5,walking
12.55,walking
12.6,walking
12.65,walking
12.7,walking
12.75,walking
12.8,walking
12.85,walking
12.9,walking
12.95,walking
13.0,walking
13.05,walking
13.1,walking
13.15,walking
13.2,walking
13.25,walking
13.3,walking
13.35,walking
13.4,walking
13.45,walking
13.5,walking
13.55,walking
13.6,walking
13.65,walking
13.7,walking
13.75,walking
13.8,walking
13.85,walking
13.9,walking
13.95,walking
14.0,walking
14.05,walking
14.1,walking
14.15,walking
14.2,walking
14.25,walking
14.3,walking
14.35,walking
14.4,walking
14.45,walking
14.5,walking
14.55,walking
14.6,walking
14.65,walking
14.7,walking
14.75,walking
14.8,walking
14.85,walking
14.9,walking
14.95,walking
15.0,walking
15.05,walking
15.1,walking
15.15,walking
15.2,walking
15.25,walking
15.3,walking
15.35,walking
15.4,walking
15.45,walking
15.5,walking
15.55,walking
15.6,walking
15.65,walking
15.7,walking
15.75,walking
15.8,walking
15.85,walking
15.9,walking
15.95,walking
16.0,walking
16.05,walking
16.1,walking
16.15,walking
16.2,walking
16.25,walking
16.3,walking
16.35,walking
16.4,walking
16.45,walking
16.5,na
16.55,na
16.6,na
16.65,na
16.7,na
16.75,na
16.8,na
16.85,na
16.9,na
16.95,na
17.0,na
17.05,walking
17.1,walking
17.15,walking
17.2,walking
17.25,walking
17.3,walking
17.35,walking
17.4,walking
17.45,walking
17.5,walking
17.55,walking
17.6,walking
17.65,walking
17.7,walking
17.75,walking
17.8,walking
17.85,walking
17.9,walking
17.95,walking
18.0,walking
18.05,walking
18.1,walking
18.15,walking
18.2,walking
18.25,walking
18.3,walking
18.35,walking
18.4,walking
18.45,walking
18.5,walking
18.55,walking
18.6,walking
18.65,walking
18.7,walking
18.75,walking
18.8,walking
18.85,walking
18.9,walking
18.95,walking
19.0,walking
19.05,walking
19.1,walking
19.15,walking
19.2,walking
19.25,walking
19.3,walking
19.35,walking
19.4,walking
19.45,walking
19.5,walking
19.55,walking
19.6,walking
19.65,walking
19.7,walking
19.75,walking
19.8,walking
19.85,walking
19.9,walking
19.95,walking
20.0,walking
20.05,walking
20.1,walking
20.15,walking
20.2,walking
20.25,walking
20.3,walking
20.35,walking
20.4,walking
20.45,walking
20.5,walking
20.55,walking
20.6,walking
20.65,walking
20.7,walking
20.75,walking
20.8,walking
20.85,walking
20.9,walking
20.95,walking
21.0,walking
21.05,walking
21.1,walking
21.15,walking
21.2,na
21.25,na
21.3,rearing
21.35,rearing
21.4,rearing
21.45,rearing
21.5,rearing
21.55,rearing
21.6,rearing
21.65,rearing
21.7,rearing
21.75,rearing
21.8,na
21.85,na
21.9,na
21.95,na
22.0,na
22.05,na
22.1,na
22.15,na
22.2,na
22.25,na
22.3,na
22.35,na
22.4,na
22.45,na
22.5,na
22.55,na
22.6,na
22.65,na
22.7,na
22.75,na
22.8,rearing
22.85,rearing
22.9,rearing
22.95,rearing
23.0,rearing
23.05,rearing
23.1,na
23.15,na
23.2,na
23.25,na
23.3,na
23.35,na
23.4,na
23.45,na
23.5,na
23.55,walking
23.6,walking
23.65,walking
23.7,walking
23.75,walking
23.8,walking
23.85,walking
23.9,walking
23.95,walking
24.0,na
24.05,na
24.1,na
24.15,na
24.2,na
24.25,na
24.3,na
24.35,na
24.4,na
24.45,na
24.5,na
24.55,na
24.6,na
24.65,na
24.7,na
24.75,rearing
24.8,rearing
24.85,rearing
24.9,rearing
24.95,rearing
25.0,rearing
25.05,rearing
25.1,rearing
25.15,rearing
25.2,rearing
25.25,rearing
25.3,rearing
25.35,rearing
25.4,rearing
25.45,rearing
25.5,rearing
25.55,rearing
25.6,rearing
25.65,rearing
25.7,rearing
25.75,rearing
25.8,rearing
25.85,rearing
25.9,rearing
25.95,rearing
26.0,rearing
26.05,rearing
26.1,rearing
26.15,rearing
26.2,rearing
26.25,rearing
26.3,rearing
26.35,rearing
26.4,rearing
26.45,rearing
26.5,rearing
26.55,rearing
26.6,rearing
26.65,rearing
26.7,na
26.75,walking
26.8,walking
26.85,walking
26.9,walking
26.95,walking
27.0,walking
27.05,walking
27.1,walking
27.15,walking
27.2,walking
27.25,walking
27.3,na
27.35,na
27.4,na
27.45,na
27.5,na
27.55,na
27.6,na
27.65,na
27.7,na
27.75,na
27.8,na
27.85,na
27.9,na
27.95,na
28.0,na
28.05,na
28.1,na
28.15,na
28.2,na
28.25,na
28.3,walking
28.35,walking
28.4,walking
28.45,walking
28.5,walking
28.55,walking
28.6,walking
28.65,walking
28.7,walking
28.75,na
28.8,na
28.85,rearing
28.9,rearing
28.95,rearing
29.0,rearing
29.05,rearing
29.1,rearing
29.15,rearing
29.2,rearing
29.25,rearing
29.3,rearing
29.35,rearing
29.4,rearing
29.45,rearing
29.5,rearing
29.55,rearing
29.6,rearing
29.65,rearing
29.7,rearing
29.75,rearing
29.8,rearing
29.85,rearing
29.9,rearing
29.95,rearing
30.0,rearing
30.05,rearing
30.1,rearing
30.15,rearing
30.2,rearing
30.25,rearing
30.3,rearing
30.35,rearing
30.4,rearing
30.45,rearing
30.5,rearing
30.55,rearing
30.6,rearing
30.65,rearing
30.7,rearing
30.75,rearing
30.8,rearing
30.85,rearing
30.9,rearing
30.95,rearing
31.0,rearing
31.05,na
31.1,na
31.15,na
31.2,na
31.25,na
31.3,na
31.35,na
31.4,na
31.45,na
31.5,walking
31.55,walking
31.6,walking
31.65,walking
31.7,walking
31.75,walking
31.8,walking
31.85,walking
31.9,walking
31.95,walking
32.0,walking
32.05,walking
32.1,walking
32.15,walking
32.2,walking
32.25,walking
32.3,walking
32.35,walking
32.4,walking
32.45,walking
32.5,walking
32.55,walking
32.6,walking
32.65,walking
32.7,walking
32.75,walking
32.8,walking
32.85,walking
32.9,walking
32.95,walking
33.0,walking
33.05,walking
33.1,walking
33.15,walking
33.2,walking
33.25,walking
33.3,walking
33.35,walking
33.4,walking
33.45,walking
33.5,walking
33.55,walking
33.6,walking
33.65,walking
33.7,walking
33.75,walking
33.8,walking
33.85,walking
33.9,walking
33.95,walking
34.0,walking
34.05,walking
34.1,walking
34.15,walking
34.2,walking
34.25,walking
34.3,walking
34.35,walking
34.4,walking
34.45,walking
34.5,walking
34.55,walking
34.6,walking
34.65,walking
34.7,walking
34.75,walking
34.8,walking
34.85,walking
