,0
0.0,na
0.05,grooming
0.1,grooming
0.15,grooming
0.2,grooming
0.25,grooming
0.3,grooming
0.35,grooming
0.4,grooming
0.45,grooming
0.5,grooming
0.55,grooming
0.6,grooming
0.65,grooming
0.7,grooming
0.75,grooming
0.8,grooming
0.85,grooming
0.9,grooming
0.95,grooming
1.0,grooming
1.05,grooming
1.1,grooming
1.15,grooming
1.2,grooming
1.25,grooming
1.3,grooming
1.35,grooming
1.4,grooming
1.45,grooming
1.5,grooming
1.55,grooming
1.6,grooming
1.65,grooming
1.7,grooming
1.75,grooming
1.8,grooming
1.85,grooming
1.9,na
1.95,na
2.0,na
2.05,na
2.1,na
2.15,na
2.2,na
2.25,na
2.3,na
2.35,na
2.4,standing
2.45,standing
2.5,standing
2.55,standing
2.6,standing
2.65,standing
2.7,standing
2.75,standing
2.8,standing
2.85,standing
2.9,na
2.95,na
3.0,na
3.05,na
3.1,na
3.15,na
3.2,na
3.25,na
3.3,na
3.35,na
3.4,walking
3.45,walking
3.5,walking
3.55,walking
3.6,walking
3.65,walking
3.7,walking
3.75,walking
3.8,walking
3.85,walking
3.9,walking
3.95,walking
4.0,walking
4.05,walking
4.1,walking
4.15,walking
4.2,walking
4.25,walking
4.3,walking
4.35,walking
4.4,walking
4.45,walking
4.5,na
4.55,na
4.6,na
4.65,na
4.7,na
4.75,na
4.8,na
4.85,na
4.9,na
4.95,na
5.0,standing
5.05,na
5.1,na
5.15,na
5.2,na
5.25,na
5.3,na
5.35,na
5.4,na
5.45,na
5.5,na
5.55,na
5.6,na
5.65,na
5.7,na
5.75,na
5.8,standing
5.85,standing
5.9,standing
5.95,standing
6.0,standing
6.05,standing
6.1,standing
6.15,standing
6.2,standing
6.25,standing
6.3,standing
6.35,standing
6.4,standing
6.45,standing
6.5,standing
6.55,standing
6.6,standing
6.65,standing
6.7,standing
6.75,standing
6.8,standing
6.85,standing
6.9,standing
6.95,standing
7.0,standing
7.05,na
7.1,na
7.15,na
7.2,na
7.25,na
7.3,na
7.35,na
7.4,na
7.45,na
7.5,na
7.55,na
7.6,na
7.65,na
7.7,na
7.75,standing
7.8,standing
7.85,standing
7.9,standing
7.95,standing
8.0,standing
8.05,standing
8.1,standing
8.15,standing
8.2,standing
8.25,standing
8.3,standing
8.35,standing
8.4,standing
8.45,standing
8.5,standing
8.55,standing
8.6,standing
8.65,standing
8.7,standing
8.75,standing
8.8,na
8.85,na
8.9,na
8.95,na
9.0,na
9.05,na
9.1,na
9.15,na
9.2,na
9.25,na
9.3,na
9.35,na
9.4,na
9.45,na
9.5,na
9.55,na
9.6,na
9.65,na
9.7,na
9.75,na
9.8,na
9.85,na
9.9,na
9.95,na
10.0,na
10.05,na
10.1,na
10.15,na
10.2,na
10.25,na
10.3,na
10.35,na
10.4,na
10.45,na
10.5,na
10.55,na
10.6,na
10.65,standing
10.7,standing
10.75,standing
10.8,standing
10.85,standing
10.9,standing
10.95,standing
11.0,standing
11.05,standing
11.1,standing
11.15,standing
11.2,standing
11.25,standing
11.3,standing
11.35,standing
11.4,standing
11.45,standing
11.5,standing
11.55,standing
11.6,standing
11.65,standing
11.7,standing
11.75,standing
11.8,standing
11.85,standing
11.9,standing
11.95,standing
12.0,standing
12.05,standing
12.1,standing
12.15,standing
12.2,standing
12.25,standing
12.3,standing
12.35,standing
12.4,standing
12.45,standing
12.5,standing
12.55,standing
12.6,standing
12.65,na
12.7,standing
12.75,standing
12.8,standing
12.85,standing
12.9,standing
12.95,standing
13.0,standing
13.05,standing
13.1,standing
13.15,standing
13.2,standing
13.25,standing
13.3,na
13.35,standing
13.4,standing
13.45,standing
13.5,standing
13.55,standing
13.6,standing
13.65,na
13.7,na
13.75,na
13.8,na
13.85,na
13.9,na
13.95,na
14.0,na
14.05,na
14.1,na
14.15,na
14.2,na
14.25,na
14.3,standing
14.35,standing
14.4,standing
14.45,standing
14.5,standing
14.55,standing
14.6,standing
14.65,standing
14.7,standing
14.75,standing
14.8,na
14.85,na
14.9,na
14.95,na
15.0,na
15.05,na
15.1,na
15.15,na
15.2,na
15.25,rearing
15.3,rearing
15.35,rearing
15.4,rearing
15.45,rearing
15.5,rearing
15.55,rearing
15.6,rearing
15.65,rearing
15.7,rearing
15.75,rearing
15.8,rearing
15.85,rearing
15.9,rearing
15.95,rearing
16.0,rearing
16.05,na
16.1,na
16.15,na
16.2,na
16.25,na
16.3,na
16.35,na
16.4,standing
16.45,standing
16.5,standing
16.55,standing
16.6,standing
16.65,standing
16.7,standing
16.75,standing
16.8,standing
16.85,standing
16.9,standing
16.95,standing
17.0,standing
17.05,standing
17.1,standing
17.15,standing
17.2,standing
17.25,standing
17.3,standing
17.35,standing
17.4,standing
17.45,standing
17.5,standing
17.55,standing
17.6,standing
17.65,standing
17.7,standing
17.75,standing
17.8,standing
17.85,standing
17.9,standing
17.95,standing
18.0,standing
18.05,standing
18.1,standing
18.15,standing
18.2,standing
18.25,standing
18.3,standing
18.35,standing
18.4,standing
18.45,standing
18.5,standing
18.55,standing
18.6,standing
18.65,standing
18.7,standing
18.75,standing
18.8,standing
18.85,standing
18.9,standing
18.95,standing
19.0,standing
19.05,standing
19.1,standing
19.15,standing
19.2,standing
19.25,na
19.3,na
19.35,na
19.4,na
19.45,na
19.5,na
19.55,na
19.6,na
19.65,na
19.7,na
19.75,na
19.8,na
19.85,na
19.9,grooming
19.95,grooming
20.0,grooming
20.05,grooming
20.1,grooming
20.15,grooming
20.2,grooming
20.25,grooming
20.3,grooming
20.35,grooming
20.4,grooming
20.45,grooming
20.5,grooming
20.55,grooming
20.6,grooming
20.65,grooming
20.7,grooming
20.75,grooming
20.8,grooming
20.85,na
20.9,na
20.95,grooming
21.0,grooming
21.05,grooming
21.1,grooming
21.15,grooming
21.2,grooming
21.25,grooming
21.3,grooming
21.35,grooming
21.4,grooming
21.45,grooming
21.5,na
21.55,na
21.6,na
21.65,na
21.7,grooming
21.75,grooming
21.8,grooming
21.85,grooming
21.9,grooming
21.95,grooming
22.0,grooming
22.05,grooming
22.1,grooming
22.15,grooming
22.2,grooming
22.25,grooming
22.3,grooming
22.35,na
22.4,na
22.45,na
22.5,na
22.55,na
22.6,na
22.65,na
22.7,na
22.75,na
22.8,na
22.85,na
22.9,na
22.95,na
23.0,na
23.05,na
23.1,na
23.15,na
23.2,na
23.25,na
23.3,na
23.35,na
23.4,na
23.45,na
23.5,standing
23.55,standing
23.6,standing
23.65,standing
23.7,standing
23.75,standing
23.8,standing
23.85,standing
23.9,standing
23.95,standing
24.0,standing
24.05,standing
24.1,standing
24.15,standing
24.2,standing
24.25,standing
24.3,standing
24.35,standing
24.4,standing
24.45,standing
24.5,standing
24.55,standing
24.6,standing
24.65,standing
24.7,standing
24.75,standing
24.8,standing
24.85,na
24.9,na
24.95,na
25.0,na
25.05,na
25.1,na
25.15,na
25.2,na
25.25,na
25.3,na
25.35,na
25.4,na
25.45,na
25.5,na
25.55,walking
25.6,walking
25.65,walking
25.7,walking
25.75,walking
25.8,walking
25.85,walking
25.9,walking
25.95,walking
26.0,walking
26.05,walking
26.1,walking
26.15,walking
26.2,walking
26.25,walking
26.3,walking
26.35,walking
26.4,na
26.45,na
26.5,na
26.55,standing
26.6,standing
26.65,standing
26.7,standing
26.75,standing
26.8,standing
26.85,standing
26.9,standing
26.95,standing
27.0,standing
27.05,standing
27.1,standing
27.15,standing
27.2,standing
27.25,standing
27.3,standing
27.35,standing
27.4,standing
27.45,standing
27.5,standing
27.55,standing
27.6,na
27.65,na
27.7,na
27.75,na
27.8,na
27.85,na
27.9,na
27.95,na
28.0,na
28.05,na
28.1,na
28.15,na
28.2,na
28.25,na
28.3,na
28.35,walking
28.4,walking
28.45,walking
28.5,walking
28.55,walking
28.6,walking
28.65,walking
28.7,walking
28.75,walking
28.8,walking
28.85,na
28.9,na
28.95,na
29.0,na
29.05,na
29.1,na
29.15,na
29.2,na
29.25,na
29.3,na
29.35,na
29.4,na
